course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_title_clean
Data Science Math Skills,Duke University,COURSE,4.5,Beginner,140k,Data Science Math Skills
Data Science Methodology,IBM,COURSE,4.6,Beginner,89k,Data Science Methodology
Data Science: Foundations using R,Johns Hopkins University,SPECIALIZATION,4.6,Beginner,740k,Data Science Foundations using R
Data Science: Statistics and Machine Learning,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,210k,Data Science Statistics and Machine Learning
Data Visualization and Communication with Tableau,Duke University,COURSE,4.7,Intermediate,130k,Data Visualization and Communication with Tableau
Data Visualization with Advanced Excel,PwC,COURSE,4.8,Beginner,60k,Data Visualization with Advanced Excel
Data Visualization with Python,IBM,COURSE,4.6,Intermediate,66k,Data Visualization with Python
Data Visualization with Tableau,"University of California, Davis",SPECIALIZATION,4.5,Beginner,96k,Data Visualization with Tableau
Data Warehousing for Business Intelligence,University of Colorado System,SPECIALIZATION,4.5,Advanced,140k,Data Warehousing for Business Intelligence
Data and Health Indicators in Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,18k,Data and Health Indicators in Public Health Practice
Data-driven Decision Making,PwC,COURSE,4.6,Beginner,120k,Datadriven Decision Making
Databases and SQL for Data Science,IBM,COURSE,4.7,Beginner,110k,Databases and SQL for Data Science
De-Mystifying Mindfulness,Universiteit Leiden,COURSE,4.8,Beginner,150k,DeMystifying Mindfulness
Decision-Making and Scenarios,University of Pennsylvania,COURSE,4.6,Intermediate,31k,DecisionMaking and Scenarios
Deep Learning,deeplearning.ai,SPECIALIZATION,4.8,Intermediate,690k,Deep Learning
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,44k,Democracia y decisiones pblicas Introduccin al anlisis de polticas pblicas
Dentistry 101,University of Michigan,COURSE,4.7,Beginner,4.5k,Dentistry 101
Dermatology: Trip to skin,Novosibirsk State University ,COURSE,4.4,Beginner,8.2k,Dermatology Trip to skin
Design Thinking for Innovation,University of Virginia,COURSE,4.6,Beginner,240k,Design Thinking for Innovation
Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,COURSE,4.6,Beginner,17k,Design Thinking for the Greater Good Innovation in the Social Sector
Design and Interpretation of Clinical Trials,Johns Hopkins University,COURSE,4.7,Intermediate,67k,Design and Interpretation of Clinical Trials
Design and Make Infographics (Project-Centered Course),Michigan State University,COURSE,4.7,Intermediate,97k,Design and Make Infographics ProjectCentered Course
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,COURSE,4.6,Intermediate,19k,DesignLed Strategy Design thinking for business strategy and entrepreneurship
Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,SPECIALIZATION,4.6,Intermediate,16k,Developing APIs with Google Clouds Apigee API Platform
Developing Applications with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300k,Developing Applications with Google Cloud Platform
Developing Applications with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.8,Intermediate,4k,Developing Applications with Google Cloud Platform 
Developing Industrial Internet of Things,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate,8k,Developing Industrial Internet of Things
Developing Your Musicianship,Berklee College of Music,COURSE,4.8,Intermediate,41k,Developing Your Musicianship
Devenir entrepreneur du changement,Ticket for Change,COURSE,4.7,Intermediate,54k,Devenir entrepreneur du changement
Digital Advertising Strategy,University of Colorado Boulder,SPECIALIZATION,4.4,Beginner,9k,Digital Advertising Strategy
Digital Business Models,Lund University,COURSE,4.5,Beginner,21k,Digital Business Models
Digital Manufacturing & Design Technology,University at Buffalo,SPECIALIZATION,4.6,Beginner,37k,Digital Manufacturing  Design Technology
Digital Marketing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,380k,Digital Marketing
Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,COURSE,4.4,Intermediate,57k,Digital Media and Marketing Strategies
Digital Product Management,University of Virginia,SPECIALIZATION,4.7,Beginner,140k,Digital Product Management
Digital Product Management: Modern Fundamentals,University of Virginia,COURSE,4.7,Beginner,58k,Digital Product Management Modern Fundamentals
